user,jobId,taskAmount,taskLength,taskTime,taskDiskUsage,taskRam,averageTaskCpu,taskCores,schedulingClass,jobCreationTime,jobStartTime,jobEndTime,executionAttempts,evictionAmounts
8WrviF3fOvQFmHhI27BBLaGiasrA5UkmDc+Jksm0Bx8=,6088049387,1,69665362424,214995994920,0.0001554,0.06433,0.00019174119889119913,0.0625,1,0,0,729714878393,1,
8WrviF3fOvQFmHhI27BBLaGiasrA5UkmDc+Jksm0Bx8=,6088049391,1,69175668734,212849939746,0.000039100000000000015,0.22339999999999985,0.00019753916287878893,0.056270000000000035,1,0,0,729735072714,1,
8WrviF3fOvQFmHhI27BBLaGiasrA5UkmDc+Jksm0Bx8=,6088049395,1,1782461318,5580600078,0.00007820000000000007,0.06433,0.00018390097506925087,0.05626999999999979,1,0,0,729786416442,1,
1XlfV9YolaBwwReNnUJSvLpYOPX1o9a06JpBZYm1rpM=,6243111979,1,11862189833,9820646011,0.00003815,0.0636,0.3163270800000001,0.0625,0,0,0,74138487463,1,
mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,6243371515,1,73051357733,166833033562.97253,0.000038150000000000175,0.03979,0.028698022261370075,0.09375,1,0,0,456486185161,1,
f7F3iYlP9QqyuUyW8v/H8sCjOf6XEy+lP3bzejIRLK0=,6246031144,1,3920535926,11374717445,0.00003815,0.0159,0.0002744685758513948,0.03125,0,0,0,189451713718,1,
nHinWYr2Nep8Mr79MMvmYCrGb0NdshyX6mlnZo/Ot+I=,6249240870,1,2446680817,9066286979,0.0003862,0.003975,0.00030127424242424233,0.03125,1,7012396895,7014325934,16080612921,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251093740,1,16140573067,44151246380,0.000007629,0.003109,0.00023650986842105282,0.006248,1,2649850722,2651563846,46802810234,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251093772,1,2868719236,8950762606,0.000007629,0.003109,0.0002930676470588234,0.006248,1,2649853840,2651563864,11602326478,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251103557,1,515365627,717933101.7,0.00023749999999999992,0.07873999999999996,0.10989364043500005,0.17919999999999986,0,0,0,2076668456,1,
